~~~Start of file~~~
Timestamp: 2020-04-13 18:05:12.263149

Timestamp: 2020-04-13 18:15:01.754972

Timestamp: 2020-04-13 18:20:02.059349

Timestamp: 2020-04-13 18:25:02.028267

Timestamp: 2020-04-13 18:29:29.046174

Timestamp: 2020-04-13 18:31:42.164558

Timestamp: 2020-04-13 18:31:54.206808

Timestamp: 2020-04-13 18:35:16.230817

Timestamp: 2020-04-13 18:35:53.643932

Timestamp: 2020-04-13 18:36:00.038587

Timestamp: 2020-04-17 10:30:39.510754

Timestamp: 2020-04-17 11:28:04.944211

Timestamp: 2020-04-17 11:30:01.604358

Timestamp: 2020-04-17 11:35:01.293554

Timestamp: 2020-04-17 11:40:01.582657

Timestamp: 2020-04-17 11:45:01.362654

Timestamp: 2020-04-17 11:50:02.105991

Timestamp: 2020-04-17 11:55:01.776267

Timestamp: 2020-04-17 12:00:01.431313

Timestamp: 2020-04-17 12:05:01.129364

Timestamp: 2020-04-17 12:10:01.984501

Timestamp: 2020-04-17 12:15:01.627539

Timestamp: 2020-04-17 12:20:01.314085

Timestamp: 2020-04-17 12:25:01.968608

Timestamp: 2020-04-17 12:30:02.121710

Timestamp: 2020-04-17 12:35:01.848308

Timestamp: 2020-04-17 12:40:01.499895

Timestamp: 2020-04-17 12:45:01.136205

Timestamp: 2020-04-17 12:50:01.859836

Timestamp: 2020-04-17 12:55:01.526029

Timestamp: 2020-04-17 13:00:01.171493

Timestamp: 2020-04-17 13:05:01.939108

Timestamp: 2020-04-17 13:10:01.652302

Timestamp: 2020-04-17 13:15:01.305827

Timestamp: 2020-04-17 13:20:02.048498

Timestamp: 2020-04-17 13:25:01.737189

Timestamp: 2020-04-17 13:30:01.453033

Timestamp: 2020-04-17 13:35:01.186464

Timestamp: 2020-04-17 13:40:02.069507

Timestamp: 2020-04-17 13:45:01.829423

Timestamp: 2020-04-17 13:50:01.452983

Timestamp: 2020-04-17 13:55:01.149238

Timestamp: 2020-04-17 14:00:01.836592

Timestamp: 2020-04-17 14:05:01.494678

Timestamp: 2020-04-17 14:10:01.215019

Timestamp: 2020-04-17 14:15:01.891739

Timestamp: 2020-04-17 14:20:01.557333

Timestamp: 2020-04-17 14:25:01.216278

Timestamp: 2020-04-17 14:30:01.893231

Timestamp: 2020-04-17 14:35:01.610361

Timestamp: 2020-04-17 14:40:01.315775

Timestamp: 2020-04-17 14:45:02.036173

Timestamp: 2020-04-17 14:50:01.686209

Timestamp: 2020-04-17 14:55:01.364535

Timestamp: 2020-04-17 15:00:02.089638

Timestamp: 2020-04-17 15:05:01.773209

Timestamp: 2020-04-17 15:10:01.531915

Timestamp: 2020-04-17 15:15:01.233567

Timestamp: 2020-04-17 15:20:01.883527

Timestamp: 2020-04-17 15:25:01.499804

Timestamp: 2020-04-17 15:30:01.177110

Timestamp: 2020-04-17 15:35:01.831523

